,,,,,
NYC Hate Crime Report,,,,,
Arrest Statistics involving Hate Crime Incidents ,,,,,
"by Arrestee Gender, Race, Age and Bias Motivation",,,,,
4th Quarter 2020,,,,,
,,,,,
Number,Precinct,Gender,Race,Age,Bias-Motivation
1,010,MALE,WHITE,50,ANTI-ASIAN
2,046,FEMALE,BLACK,18,ANTI-ASIAN
3,009,MALE,WHITE HISPANIC,26,ANTI-BLACK
4,049,MALE,WHITE,48,ANTI-BLACK
5,060,MALE,BLACK,50,ANTI-FEMALE
6,060,MALE,BLACK,50,ANTI-FEMALE
7,060,MALE,BLACK,50,ANTI-FEMALE
8,060,MALE,BLACK,50,ANTI-FEMALE
9,112,FEMALE,WHITE HISPANIC,35,ANTI-ISLAMIC(MUSLIM)
10,114,FEMALE,BLACK,42,ANTI-ISLAMIC(MUSLIM)
11,007,MALE,WHITE,40,ANTI-JEWISH
12,019,MALE,ASIAN / PACIFIC ISLANDER,53,ANTI-JEWISH
13,060,MALE,ASIAN / PACIFIC ISLANDER,25,ANTI-JEWISH
14,061,FEMALE,WHITE,58,ANTI-JEWISH
15,061,MALE,WHITE,39,ANTI-JEWISH
16,061,MALE,WHITE,39,ANTI-JEWISH
17,061,MALE,WHITE,39,ANTI-JEWISH
18,061,MALE,WHITE,39,ANTI-JEWISH
19,084,FEMALE,BLACK,57,ANTI-JEWISH
20,006,MALE,BLACK,37,ANTI-MALE HOMOSEXUAL(GAY)
21,018,MALE,BLACK,25,ANTI-MALE HOMOSEXUAL(GAY)
22,048,MALE,BLACK,44,ANTI-MALE HOMOSEXUAL(GAY)
23,100,MALE,WHITE,36,ANTI-MALE HOMOSEXUAL(GAY)
24,100,MALE,WHITE,36,ANTI-MALE HOMOSEXUAL(GAY)
25,100,MALE,WHITE,36,ANTI-MALE HOMOSEXUAL(GAY)
26,100,MALE,WHITE,36,ANTI-MALE HOMOSEXUAL(GAY)
